1,77.18%,76.61%,75.28%,
2,74.43%,75.28%,74.43%,
3,83.33%,83.75%,85.31%,
4,64.58%,66.99%,66.41%,
5,86.19%,86.59%,86.19%,
6,59.59%,61.01%,60.94%,
7,78.77%,80.60%,82.00%,
8,88.47%,88.47%,88.90%,
9,72.95%,76.94%,76.72%,
10,59.21%,57.61%,60.82%,
,74.47%,75.39%,75.70%,
