1,75.76%,75.66%,75.47%,
2,74.08%,73.65%,74.93%,
3,83.54%,82.81%,84.27%,
4,67.06%,66.67%,66.73%,
5,85.89%,86.79%,85.89%,
6,59.02%,59.94%,60.30%,
7,78.34%,79.85%,81.68%,
8,88.90%,87.72%,88.79%,
9,73.17%,77.48%,76.72%,
10,59.86%,58.09%,60.74%,
,74.56%,74.87%,75.55%,
