1,76.42%,75.85%,75.09%,
2,73.44%,73.72%,74.72%,
3,83.85%,84.48%,85.21%,
4,68.23%,67.45%,66.34%,
5,86.49%,86.79%,86.19%,
6,59.94%,61.01%,60.58%,
7,79.63%,80.39%,81.68%,
8,88.25%,87.07%,89.01%,
9,73.49%,77.26%,77.69%,
10,59.13%,58.17%,60.82%,
,74.89%,75.22%,75.73%,
