1,77.94%,77.27%,76.52%,
2,74.36%,74.57%,75.28%,
3,83.85%,84.48%,85.21%,
4,64.00%,66.54%,66.99%,
5,86.19%,86.59%,86.59%,
6,59.87%,60.51%,60.58%,
7,78.34%,79.85%,81.68%,
8,87.50%,88.69%,89.87%,
9,73.92%,76.40%,76.83%,
10,59.46%,58.49%,61.06%,
,74.54%,75.34%,76.06%,
